spot,bs_call,mc_call,bt_call,xgb_call
1300.0,0.678997611788482,0.6513482581290004,0.6634190001030169,2.350168
1318.421052631579,1.252135124836471,1.3598290586685993,1.2414068811064392,2.9881632
1336.842105263158,2.193947354472897,2.178322996969593,2.1644045012072617,3.6106577
1355.2631578947369,3.6636782115361086,3.713011394795459,3.543061045729268,4.4778748
1373.6842105263158,5.848196250761617,5.791309253502875,5.817652048610355,7.1420684
1392.1052631578948,8.949799262484248,8.805788729151637,9.01484626683586,12.146214
1410.5263157894738,13.16867306955021,13.195040732835722,13.252922572397258,14.256409
1428.9473684210527,18.68256235848645,18.740970516859527,18.62515997217218,18.677639
1447.3684210526317,25.627227670228876,25.44489502610343,25.614004384931622,24.02906
1465.7894736842106,34.0813619380541,34.190027528082084,34.242505103620275,35.042107
1484.2105263157896,44.05875389469031,43.45500086872391,44.18825098476508,44.169113
1502.6315789473683,55.50888937763659,55.537352795336446,55.39650357008203,54.631123
1521.0526315789475,68.32537546365143,68.9034514454688,68.39248677538806,66.38211
1539.4736842105262,82.36008153792682,81.87464655836278,82.47373881530257,77.67997
1557.8947368421052,97.44007847104922,96.2955785502043,97.41602305014477,96.627075
1576.3157894736842,113.38442475448414,113.44781742959618,113.3633257070324,109.82903
1594.7368421052631,130.01845474299125,129.16303946782008,130.05665367676264,128.73892
1613.157894736842,147.18418035676245,148.46956623877182,147.1577362145893,140.6085
1631.578947368421,164.74641223231538,164.38553637849574,164.71454647893506,161.57637
1650.0,182.5950030654376,181.69353451982215,182.59386244874628,178.0551
