time,bs_call,mc_call,bt_call,xgb_call
0.01,12.875621064607685,12.476117616959655,12.81372961750226,25.345516
0.03666666666666667,25.47623973892928,25.204543125660045,25.357691152752093,29.412325
0.06333333333333332,34.1937050466986,34.40922354671535,34.03785598403498,37.02773
0.08999999999999998,41.443253308552016,41.19975403225551,41.25741554153147,45.210163
0.11666666666666665,47.8526247884065,47.631778172773245,47.64097970787169,52.616062
0.14333333333333334,53.69916111582904,54.26464461802261,53.464507195752496,54.090153
0.16999999999999998,59.13451336643698,58.1140481875132,58.878892979890544,62.90585
0.19666666666666666,64.25233343990055,63.938128037747305,63.97732209241102,67.848206
0.22333333333333333,69.11526002943333,69.56291697877036,68.82212101253032,71.2672
0.25,73.76763253961644,74.6991801363769,73.4574081806146,78.15514
