vol,bs_call,mc_call,bt_call,xgb_call
0.15,29.255778226787015,28.749836381327146,29.1289225143374,38.925774
0.175,33.43792522173135,33.84984264386905,33.29020918618768,36.840363
0.19999999999999998,37.62621769644022,37.30019362841532,37.457612117900965,42.360386
0.22499999999999998,41.81843281361466,41.38643365833215,41.62891885602192,46.887447
0.25,46.01321283844459,46.22575806916064,45.802778112730834,51.478073
0.27499999999999997,50.209673072716214,50.956098264397255,49.97830943853867,57.50134
0.3,54.4072052354893,55.18184464379555,54.15490749817517,60.450985
0.32499999999999996,58.60537136882863,59.82156237803945,58.33213646825405,64.764595
0.35,62.80384311974933,63.38051574779041,62.50966960447553,68.684814
0.375,67.00236526768276,64.94511260135826,66.68725294214805,73.15038
0.39999999999999997,71.20073290929258,71.41283000586452,70.86468259008771,75.32004
0.42499999999999993,75.3987766858636,75.69313139799046,75.04179002906855,81.06496
0.44999999999999996,79.5963529298997,80.10960874298026,79.21843230604765,86.51482
0.475,83.79333692079172,83.92575455700306,83.39448532257235,96.915375
0.5,87.9896181625545,87.04590658041587,87.56983913552328,96.915375
